model,accuracy,f1,recall,precision
model_ACHIEVEMENT,0.49707602339181284,0.4728802628660807,0.49707602339181284,0.4951766881591443
model_BENEVOLENCE,0.6379647749510763,0.630643579226803,0.6379647749510763,0.6354069160676735
model_CONFORMITY,0.8169761273209549,0.8051990861498729,0.8169761273209549,0.7980179781903919
model_HEDONISM,0.6296296296296297,0.6331352919300408,0.6296296296296297,0.6395581911499514
model_POWER,0.5568181818181818,0.5402327612634911,0.5568181818181818,0.5383764575857886
model_SECURITY,0.45799457994579945,0.44786329023587523,0.45799457994579945,0.4434149301755988
model_SELF-DIRECTION,0.4,0.3952772298926145,0.4,0.40512820512820513
model_STIMULATION,0.60546875,0.5952237297928125,0.60546875,0.6060057218449887
model_TRADITION,.0.5576923076923077,0.546529633923642,0.5576923076923077,0.5416094744108488
model_UNIVERSALISM,0.40823970037453183,0.39006172683184237,0.40823970037453183,0.3867222423583424
