model,accuracy,f1,recall,precision
model_ACHIEVEMENT,0.47368421052631576,0.44029844198238544,0.47368421052631576,0.4691031090798893
model_BENEVOLENCE,0.6320939334637965,0.6095968676486581,0.6320939334637965,0.6057812894727042
model_CONFORMITY,0.7771883289124668,0.7603150129273677,0.7771883289124668,0.7488146271550924
model_HEDONISM,0.5532407407407407,0.5452323689805002,0.5532407407407407,0.5701023114816217
model_POWER,0.5397727272727273,0.5232535321821037,0.5397727272727273,0.5206358135813581
model_SECURITY,0.4186991869918699,0.4173675123038856,0.4186991869918699,0.42493794763359777
model_SELF-DIRECTION,0.36923076923076925,0.3475351442477635,0.36923076923076925,0.38832823146045226
model_STIMULATION,0.609375,0.5950319121193006,0.609375,0.5963815933445746
model_TRADITION,0.6115384615384616,0.569709905179751,0.6115384615384616,0.6004835960059841
model_UNIVERSALISM,0.4307116104868914,0.4267654093531256,0.4307116104868914,0.4307194666038177
